XOM UTX WAG XRX WMB WFC WY WMT VZ USB UPS UNH
0.002931 -0.017341 -0.026376 -0.02231 0.005111 0.00024 0.006042 0.018979 -0.000734 0.046209 -0.009333 -0.000294
0.029713 0.023529 0.03033 0.057718 0.025424 0.010557 0.040795 0.029762 -0.006428 0.011325 0.016683 0.012338
-0.004494 0.009579 0.002572 0.032995 0.00595 -0.00641 0.026462 -0.00261 -0.023105 -0.015678 0.019112 -0.017992
0.004752 -0.016319 0.003991 -0.006143 -0.005915 -0.018399 -0.007947 -0.01103 -0.010407 -0.0438 -0.034855 -0.008718
-0.015134 0.022762 -0.009086 -0.039555 -0.036364 -0.007546 -0.005666 0.010964 -0.001721 0.001785 -0.001374 0.016843
0.002401 0.018484 0.013754 0.024453 0.028816 -0.014226 -0.003537 -0.006358 -0.002107 0.033254 -0.00059 0.00557
-0.007425 -0.037037 -0.022046 -0.057789 -0.041681 -0.033342 -0.032932 -0.017313 0.010557 0.028161 -0.001573 -0.008017
-0.025096 -0.030769 -0.006069 -0.030667 -0.041406 0.005663 0.00102 -0.006128 -0.010446 -0.007826 -0.005121 -0.003527
0.003465 0.029762 -0.006979 0.044017 0.032668 -0.001792 0.001222 0.021387 0.004798 -0.027606 0.004752 -0.002949
0.014307 0.01657 0.007028 -0.035573 0.010896 0.018718 0.026653 0.000566 -0.022732 0.006952 0.001576 0.01834
-0.00608 0.003601 0.001163 -0.002732 -0.024687 0.006796 -0.011692 -0.008107 -0.02541 0.017261 0.007869 -0.0122
-0.024712 0.006232 -0.014813 -0.054795 -0.076649 0.0075 0.022659 -0.002471 0.004813 0.029412 -0.006246 -0.029555
0.017561 0.022335 0.003243 0.010145 0.065637 0.027295 0.028431 0.015625 0.001796 0.037363 -0.005303 0.007576
0.012327 0.046631 0.002939 -0.002869 0.014493 -0.007246 -0.000191 0.002251 0.008368 -0.019068 0.00316 0.013684
-0.009255 -0.04508 -0.024905 0.007194 0.012143 -0.026764 -0.020595 -0.028454 -0.008299 -0.038877 0.000787 -0.001929
-0.02999 -0.018001 -0.027344 -0.027143 0.017996 -0.00375 -0.011293 -0.025048 -0.017733 -0.002809 -0.012982 -0.006688
-0.000253 0.008043 0.000309 0.0279 0.000693 -0.008783 -0.009256 0.01581 0.010345 0.00169 0.016341 -0.01616
0.026363 -0.003526 -0.024089 0.021429 0.015241 0.014937 0.014025 0.016342 0.026701 0.012373 0 -0.008061
-0.018029 0.010801 -0.009494 -0.004196 -0.017741 -0.000249 0.014029 0.013974 0.004106 0 0.006275 0.00506
